asx_code,company_name,gics_industry_group,ticker_yf,security_type,is_etf
BBT,BETR ENTERTAINMENT LIMITED,Consumer Services,BBT.AX,Equity,False
BWN,BHAGWAN MARINE LIMITED,Transportation,BWN.AX,Equity,False
BHP,BHP GROUP LIMITED,Materials,BHP.AX,Equity,False
BRI,BIG RIVER INDUSTRIES LIMITED,Materials,BRI.AX,Equity,False
BIM,BINDI METALS LIMITED,Materials,BIM.AX,Equity,False
BGT,BIO-GENE TECHNOLOGY LTD,Materials,BGT.AX,Equity,False
BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products,BIO.AX,Equity,False
BIT,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",BIT.AX,Equity,False
BXN,BIOXYNE LIMITED,Household & Personal Products,BXN.AX,Equity,False
BIS,BISALLOY STEEL GROUP LIMITED,Materials,BIS.AX,Equity,False
BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic,BKI.AX,Equity,False
BCA,BLACK CANYON LIMITED,Materials,BCA.AX,Equity,False
BC8,BLACK CAT SYNDICATE LIMITED,Materials,BC8.AX,Equity,False
BDG,BLACK DRAGON GOLD CORP.,Materials,BDG.AX,Equity,False
BHL,BLACK HORSE MINING LIMITED,Class Pend,BHL.AX,Equity,False
BPG,BLACK PEARL GROUP LIMITED,Class Pend,BPG.AX,Equity,False
BKT,BLACK ROCK MINING LIMITED,Materials,BKT.AX,Equity,False
BSX,BLACKSTONE MINERALS LIMITED,Materials,BSX.AX,Equity,False
BWF,BLACKWALL LIMITED,Financial Services,BWF.AX,Equity,False
BLZ,BLAZE MINERALS LIMITED,Energy,BLZ.AX,Equity,False
BB1,BLINKLAB LIMITED,Health Care Equipment & Services,BB1.AX,Equity,False
XYZ,"BLOCK, INC.",Financial Services,XYZ.AX,Equity,False
BLU,BLUE ENERGY LIMITED.,Energy,BLU.AX,Equity,False
BNL,BLUE STAR HELIUM LIMITED,Energy,BNL.AX,Equity,False
BSL,BLUESCOPE STEEL LIMITED,Materials,BSL.AX,Equity,False
BS1,BLUESTONE PRIME 2024-1 TRUST,Not Applic,BS1.AX,Trust,False
BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,BLG.AX,Equity,False
BMG,BMG RESOURCES LIMITED,Materials,BMG.AX,Equity,False
BBC,BNK BANKING CORPORATION LIMITED,Banks,BBC.AX,Equity,False
